Item,Marca,Precio,Categoria,Web,class_inei,codigo,genero
traje kneeskin yingfa mujer pro iii,generico,249.9,moda mujer,falabella,ROPA DEPORTIVA (MUJER > 14),312020168,mujer
panty profesional medias latinas,generico,118.0,pantys,falabella,ROPA INTERIOR (MUJER > 14),312020172,mujer
gorra trucker clasica banda el cuarteto de nos 01,generico,49.9,gorros y sombreros,falabella,NO CLASIFICACIÓN,0,mujer
gorra de los angeles rams nfl 9fifty ,new era,149.9,gorros y sombreros,falabella,NO CLASIFICACIÓN,0,mujer
medias niña pack de 3 pares,yamp,19.9,ropa de niñas,falabella,NO CLASIFICACIÓN,0,niña
body navidad niño niña algodón,yamp,24.9,ropa de bebe niño,falabella,BEBECRECE (MENOR DE 2),312050108,niño
sandalias para pre escolar fn  27 35 adriana,footloose,85.0,zapatos niña,falabella,ZAPATOS ESCOLARES (NIÑA DE 3 A 13),321040121,niña
zapatos casuales mujer   ,kolosh,125.94,zapatos casuales mujer,falabella,ZAPATOS (MUJER > 14),321030121,mujer
pantalón casual mujer,newport,69.9,moda mujer,falabella,PANTALÓN (MUJER > 14),312020137,mujer
zapatillas grand court platfor para mujer   0,adidas,256.0,zapatillas urbanas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
medias cómodas niño pack 3 pares,rybiu import,33.9,ropa de niños,falabella,NO CLASIFICACIÓN,0,niño
camisa manga larga hombre,wolf&hank,169.9,moda hombre,falabella,CAMISA (HOMBRE > 14),312010124,hombre
polo manga corta   cholo peru,generico,34.9,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
polo hot wheels algodón  manga corta   talla 4 hasta ,generico,54.9,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
zapatillas urbanas step urban mix,clarks,399.9,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,mujer
zapatillas urbanas mujer baconita2  ,denimlab,89.95,zapatillas urbanas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
botines mildura   nébula   camel,nebula,137.94,botas de mujer,falabella,BOTAS (MUJER > 14),321030106,mujer
polo acid wash deadpool y wolverine heart,nacional,84.9,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
zapatos victoria para dama   ,generico,149.0,zapatos casuales mujer,falabella,ZAPATOS (MUJER > 14),321030121,mujer
camisa boxy manga corta hombre,isague,89.9,moda hombre,falabella,CAMISA (HOMBRE > 14),312010124,hombre
bota mujer hebilla y cremallera gamuza taco 7 2086l 70  ,generico,139.0,botas de mujer,falabella,BOTAS (MUJER > 14),321030106,mujer
vestido rip casual cafarena tcl 21  ,generico,49.99,moda mujer,falabella,VESTIDO PARA OCASIONES ESPECIALES (MUJER > 14),312020165,mujer
jeans hombre  slim taper ,levis,174.0,moda hombre,falabella,PANTALÓN (HOMBRE > 14),312010154,hombre
jean regular angel classic tall,cotton's jeans,79.91,moda hombre,falabella,PANTALÓN (HOMBRE > 14),312010154,hombre
polo okina  mujer,exit,83.3,moda mujer,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (MUJER > 14)",312020142,mujer
sandalias para mujeres fch  35 40 malu,footloose,98.0,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
medias alpaca afelpadas ideales para diabéticas y embarazadas,lancaster,27.0,medias,falabella,MEDIAS (MUJER > 14),312020131,mujer
chaqueta de cuero pu para hombre  ,blwoens,279.0,moda hombre,falabella,"CASACA, CHAQUETA, GUERRERA (HOMBRE > 14)",312010132,hombre
zapatillas running de hombre  91,apolo,114.5,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
sandalias summer roller light ,bibi,131.9,zapatos niño,falabella,ZAPATILLAS (NIÑO DE 3 A 13),321020303,niño
pack 3 medias algodón suave niño rybiu,rybiu import,33.9,ropa de niños,falabella,NO CLASIFICACIÓN,0,niño
polo urbano nation arequipa tm,generico,48.62,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
conjunto 2 piezas bebé niño,carter's,129.9,ropa de bebe niño,falabella,CONJUNTITO (MENOR DE 2),312050138,niño
sostén algodón mujer,dione,64.9,sostenes,falabella,ROPA INTERIOR (MUJER > 14),312020172,mujer
correa parisneg,tabu,34.9,correas,falabella,NO CLASIFICACIÓN,0,mujer
pezoneras de silicona invisibles,generico,12.0,sostenes,falabella,ROPA INTERIOR (MUJER > 14),312020172,mujer
faja laboral unisex talla ,leemark,42.0,fajas y modeladores,falabella,NO CLASIFICACIÓN,0,sin genero
sandalia peep toe vestir her  cobre cuero,viale,269.9,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
camisa  lino hombre,la martina,249.9,moda hombre,falabella,CAMISA (HOMBRE > 14),312010124,hombre
pack 3 medias invisible   stitch,disney,18.9,medias,falabella,MEDIAS (MUJER > 14),312020131,mujer
zapato mocasin plataforma mujer kate cuero  agua,corelli,169.99,mocasines,falabella,ZAPATOS (MUJER > 14),321030121,mujer
zapatos julieta para dama   vino,generico,159.0,zapatos casuales mujer,falabella,ZAPATOS (MUJER > 14),321030121,mujer
zapatillas deportivas mujer deviate nitro elite 2 psychedelic rush wns ,puma,399.5,zapatillas deportivas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
zapatilla casual sport para hombre   rene,generico,118.0,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
bividi con bolsillo bÃ£sico de algodón ,yonisters clothing,29.9,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
body bebes dnuñez  enterizo  ansiedad,generico,34.9,ropa de bebe niño,falabella,BEBECRECE (MENOR DE 2),312050108,bebe
botin mujer camp 15  casual,chalada,149.9,botines mujer,falabella,BOTAS (MUJER > 14),321030106,mujer
zapatos de novia marca gardenia cueros  ivory tacón 7,generico,490.0,zapatos casuales mujer,falabella,ZAPATOS (MUJER > 14),321030121,mujer
jammer kids yingfa swimmer pro ii certificado fina,generico,219.9,ropa de niños,falabella,NO CLASIFICACIÓN,0,niño
polo uv niño manga larga,hot wheels,49.9,moda mujer,falabella,NO CLASIFICACIÓN,0,niño
faja dorso lumbar    ,generico,79.0,fajas y modeladores,falabella,NO CLASIFICACIÓN,0,mujer
vl court bold mujer ,adidas,272.0,zapatillas deportivas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
zapatos de vestir mujer coredith ,aldo,249.9,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
ballerinas niña 20521507c bla ,molekinha,89.9,zapatos niña,falabella,ZAPATOS (NIÑA DE 3 A 13),321040118,niña
polo de pata daisy   ,forkids,70.0,ropa de niñas,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (NIÑA DE 3 A 13)",312040142,niña
zapatillas urbanas niño royal cl jog 20 kc,reebok,149.0,zapatos niña,falabella,ZAPATILLAS (NIÑA DE 3 A 13),321040303,niño
jean wide algodón mujer,kansas,149.9,moda mujer,falabella,PANTALÓN (MUJER > 14),312020137,mujer
brasier brastop con buen cubrimiento de sisa y espalda,leonisa,119.0,sostenes,falabella,ROPA INTERIOR (MUJER > 14),312020172,mujer
pantalón culotte mujer,stefano cocci,77.94,moda mujer,falabella,PANTALÓN (MUJER > 14),312020137,mujer
zapatilla runfalcon 5  mujer,adidas,209.3,zapatillas urbanas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
zapatos casusales hombre asaria,aldo,279.9,zapatos,falabella,ZAPATOS (HOMBRE >14),321010121,hombre
botin para dama alia  apli plomo,bashira,195.0,zapatillas urbanas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
conjunto topbotton sostén y calzón v magic mujer,sicurezza,89.9,sostenes,falabella,ROPA INTERIOR (MUJER > 14),312020172,mujer
